tipe_entitas,nama_entitas,tahun,nilai
Kontraktor,"Kadya Caraka Mulia, PT",2008,
Kontraktor,"Kadya Caraka Mulia, PT",2009,
Kontraktor,"Kadya Caraka Mulia, PT",2010,
Kontraktor,"Kalimantan Energi Lestari, PT",2003,
Kontraktor,"Kalimantan Energi Lestari, PT",2004,
Kontraktor,"Kalimantan Energi Lestari, PT",2005,600000
Kontraktor,"Kalimantan Energi Lestari, PT",2006,15833.98
Kontraktor,"Kalimantan Energi Lestari, PT",2007,80317.07
Kontraktor,"Kalimantan Energi Lestari, PT",2008,24401.96
Kontraktor,"Kalimantan Energi Lestari, PT",2009,
Kontraktor,"Kalimantan Energi Lestari, PT",2010,
Kontraktor,"Kaltim Prima Coal, PT",2003,16033799
Kontraktor,"Kaltim Prima Coal, PT",2004,22404445
Kontraktor,"Kaltim Prima Coal, PT",2005,26622409
Kontraktor,"Kaltim Prima Coal, PT",2006,34153393
Kontraktor,"Kaltim Prima Coal, PT",2007,37041285
Kontraktor,"Kaltim Prima Coal, PT",2008,32224315
Kontraktor,"Kaltim Prima Coal, PT",2009,35338731
Kontraktor,"Kaltim Prima Coal, PT",2010,8847031
Kontraktor,"Kartika Selabumi Mining, PT",2003,
Kontraktor,"Kartika Selabumi Mining, PT",2004,
Kontraktor,"Kartika Selabumi Mining, PT",2005,
Kontraktor,"Kartika Selabumi Mining, PT",2006,
Kontraktor,"Kartika Selabumi Mining, PT",2007,
Kontraktor,"Kartika Selabumi Mining, PT",2008,
Kontraktor,"Kartika Selabumi Mining, PT",2009,
Kontraktor,"Kartika Selabumi Mining, PT",2010,13324.14
Kontraktor,"Kendilo Coal Indonesia, PT",2003,
Kontraktor,"Kendilo Coal Indonesia, PT",2004,
Kontraktor,"Kendilo Coal Indonesia, PT",2005,
Kontraktor,"Kendilo Coal Indonesia, PT",2006,
Kontraktor,"Kendilo Coal Indonesia, PT",2007,
Kontraktor,"Kendilo Coal Indonesia, PT",2008,
Kontraktor,"Kendilo Coal Indonesia, PT",2009,
Kontraktor,"Kendilo Coal Indonesia, PT",2010,
Kontraktor,"Kideco Jaya Agung, PT",2003,8700448
Kontraktor,"Kideco Jaya Agung, PT",2004,10965933
Kontraktor,"Kideco Jaya Agung, PT",2005,11703485
Kontraktor,"Kideco Jaya Agung, PT",2006,10965896
Kontraktor,"Kideco Jaya Agung, PT",2007,13566872
Kontraktor,"Kideco Jaya Agung, PT",2008,16072396
Kontraktor,"Kideco Jaya Agung, PT",2009,19172515
Kontraktor,"Kideco Jaya Agung, PT",2010,3739328
Kontraktor,"Lanna Harita Indonesia, PT",2003,1163517
Kontraktor,"Lanna Harita Indonesia, PT",2004,1480257
Kontraktor,"Lanna Harita Indonesia, PT",2005,1732691
Kontraktor,"Lanna Harita Indonesia, PT",2006,1668104
Kontraktor,"Lanna Harita Indonesia, PT",2007,1598524
Kontraktor,"Lanna Harita Indonesia, PT",2008,1447330.5
Kontraktor,"Lanna Harita Indonesia, PT",2009,1209500
Kontraktor,"Lanna Harita Indonesia, PT",2010,488085
Kontraktor,"Mahakam Sumber Jaya, PT",2003,
Kontraktor,"Mahakam Sumber Jaya, PT",2004,
Kontraktor,"Mahakam Sumber Jaya, PT",2005,
Kontraktor,"Mahakam Sumber Jaya, PT",2006,2921352
